id	manual_topic	link	text_nan_poj
11	Law	https://zh-min-nan.wikipedia.org/wiki/Hoat-lu%CC%8Dt	Hoat-lu̍t sī lâng tī siā-hoē iah kok-ka lāi-té hō͘ lâng siūⁿ-chò tio̍h sūn-thàn ê ū hē-thóng ê kui-chek. Su-hoat kap kéng-chhat chip-hêng chiah-ê kui-chek, mā chhú-hoa̍t ûi-hoán hoat-lu̍t ê lâng, chhú-hoa̍t ê chhiú-lō͘ pí-lūn hoa̍t-kim iah koaiⁿ-kaⁿ téng-téng. Tī kó͘-chá sî-tāi, hoat-lu̍t sù-siông sī thâu-lâng só͘ chè-tēng--ê, lâi chè-hâng lâng tio̍h án-choáⁿ seng-hoa̍t, choh-sit kap chò seng-lí. Hiān-chhú-sî toā-to-sò͘ ê kok-ka--ni̍h, hoat-lu̍t sī li̍p-hoat ki-kò͘ lāi-bīn siū soán-kí--chhut-lâi ê chèng-tī jîn-bu̍t chè-tēng kap tâu-phiò thong-koè--ê khah chē.
12	Law	https://zh-min-nan.wikipedia.org/wiki/Hoat-lu%CC%8Dt	Hoat-lu̍t ê kū-thé khoán-sek tō sī hoat-lu̍t tiâu-bûn (hoat-àn), i ê loē-iông pau-koat kéng-chhat, hoat-īⁿ kap chhú-hoa̍t ê hong-sek. Lu̍t-su sī gián-kiù kap ūi pī-kò piān-hō͘ ê choan-gia̍p jîn-oân.
13	Law	https://zh-min-nan.wikipedia.org/wiki/Hoat-lu%CC%8Dt	Thàu-koè su-hoat ki-kò͘ kā hoat-lu̍t chip-hêng, thang chè-hān chèng-hú kan-taⁿ ē-tàng tī i kap jîn-bîn só͘ iok-sok ê hoān-ûi lāi sú-iōng koân-le̍k, che tō hō-chò "hoat-tī". Chèng-hú ê koân-le̍k chú-iàu siū hiàn-hoat ê sok-pok. Hoat-tī thang phiah-bián to̍k-chhâi, mā pó-hō͘ jîn-bîn ê koân-lī. Se-goân-chêng 350 nî Hi-lia̍p tiat-ha̍k-ka Aristotle bat siá-kóng: "Hoat-tī khah hó-koè jīn-hô kò-jîn ê thóng-tī."
14	Law	https://zh-min-nan.wikipedia.org/wiki/Hoat-lu%CC%8Dt	Bûn-hoà tiāⁿ-tiāⁿ sī chē-chē hoat-lu̍t goân-chek ê chú-iàu lâi-goân, chhin-chhiūⁿ ka-têng koan-liām, kap siā-hoē koàn-sì, lóng ē éng-hióng hoat-lu̍t ê kui-tēng. Lēng-goā tī chin chē kok-ka, chong-kàu kap chong-kàu chheh pí-lūn Vedas, Sèng-keng iah Koran mā bat sī hoat-lu̍t loē-iông iàu-kín ê lâi-goân.
15	Law	https://zh-min-nan.wikipedia.org/wiki/Hoat-lu%CC%8Dt	"Hoat-lu̍t ê lūi-hêng
Sêng-bûn-hoat kap bô-sêng-bûn-hoat
Sêng-bûn-hoat sī tī taⁿ toā-to-sò͘ kok-ka só͘ sú-iōng ê su-hoat hē-thóng, i sī ēng kin-kì hiàn-hoat só͘ chè-tēng ê hoat-lu̍t tiâu-bûn, iah-sī chèng-hú kong-pó͘ ê kui-tēng, lâi chò ki-chhó͘. Sêng-bûn-hoat koh ū 1 ê pō͘-hūn, sī kin-kì koàn-sì ê hoat-lu̍t thêng-sū. Tī chhái-chhú sêng-bûn-hoat ê kok-ka lāi-té, hoat-koaⁿ it-poaⁿ-tek bô hiah toā ê koân, toā-pō͘-hūn ê hoat-lu̍t kap phoàⁿ-lē lóng sī kok-hoē gī-oân só͘ chò--ê."
16	Law	https://zh-min-nan.wikipedia.org/wiki/Hoat-lu%CC%8Dt	Bô-sêng-bûn-hoat sī ēng éng-koè hoat-koaⁿ só͘ phoàⁿ-koat ê kiat-kó chò ki-chhó͘ ê hēng-thóng. I ê goân-thâu tī England, koh taⁿ tī chē-chē Tāi-eng Tè-kok í-chá ê léng-thó͘ kap si̍t-bîn-tē mā ū chhái-iōng. (M̄-koh Scotland kap Quebec tō bô.) I kāng-sī mā sī Bí-kok siōng chú-iàu ê hoat-lu̍t hêng-sek, sui-bóng Bí-kok kok-hoē ū thong-koè chē-chē hoat-àn, m̄-koh ū koh khah chē ê hoat-lu̍t kui-tēng sī in-ūi í-chá hoat-têng ê phoàⁿ-koat.
17	Law	https://zh-min-nan.wikipedia.org/wiki/Hoat-lu%CC%8Dt	Bô-sêng-bûn-hoat tī Tiong-sè-kí tō ū--a, goân-khí-thâu sī John Kok-ông hō͘ kùi-cho̍k kiông-pek chhiam-sú ê Tāi-hiàn-chiuⁿ.
18	Law	https://zh-min-nan.wikipedia.org/wiki/Hoat-lu%CC%8Dt	"Chong-kàu hoat-lu̍t
Chong-kàu hoat-lu̍t sī kin-kì chong-kàu sìn-gióng iah chong-kàu chheh ê hoat-lu̍t. Pí-lūn Iû-thài-kàu ê Halakha, Islam ê Sharia, kap Ki-tok-kàu ê Kàu-hoē-hoat. It-ti̍t kah 18 sè-kí, Sharia lóng iáu sī Islam sè-kài ê chú-iàu hoat-lu̍t hē-thóng. Tī chhin-chhiūⁿ Saud ê A-la-pek kap Iran, in kok kui-ê hoat-lu̍t hē-thóng ki-pún-tek tō sī chhú Sharia chò kin-té--ê."
19	Law	https://zh-min-nan.wikipedia.org/wiki/Hoat-lu%CC%8Dt	Chong-kàu hoat-lu̍t tùi chi̍t-koá hui-chong-kàu hoat--ni̍h ê khin-choē tiāⁿ-tiāⁿ ū chin khò͘-hêng ê chhú-hoa̍t, tùi hū-lú kap chió-sò͘ cho̍k-kûn ū khah put-lī.
20	Human Rights	https://zh-min-nan.wikipedia.org/wiki/J%C3%AEn-ko%C3%A2n	Jîn-kôan, kán-tan kóng, sī lán lâng chêng chhut-sì to̍h ū, sī chū-jiân kôan-lī. Àn-chiàu Chū-jiân-hoat ê kái-soeh, jîn-kôan sī só·-ū ê lâng lóng ū, bōe-tàng thâi sak tàn-tiāu ê kôan-lī. Chi-chhî chit-chióng koan-tiám ê lâng, jīn-ûi chū-iû kah ûi-chhî ha̍p-lí ê seng-o̍ah phín-chit, sī chò-lâng ê ki-pún tiâu-kiāⁿ.
21	Human Rights	https://zh-min-nan.wikipedia.org/wiki/J%C3%AEn-ko%C3%A2n	Lán kóng ká-sú ū chi̍t-chióng kôan-lī sī bē-tit chhú-siau he̍k-chiá the̍h-tiāu ê, án-ne che to̍h-sī leh kóng chit-chióng kôan-lī bōe-sái hō· lâng the̍h-lâi si-sià, the̍h-lâi bé-bē, i bô su-iàu siū lâng phoe-chún, mā bô lâng ē-tàng hān-chè. Khó-pí-kóng, chi̍t-ê lâng bē-sái kā ka-kī bē hō· lâng chò lô·, in-ūi bô lâng ū kôan án-ne chò, pau-koah i pun-sin.
22	Human Rights	https://zh-min-nan.wikipedia.org/wiki/J%C3%AEn-ko%C3%A2n	Nā beh kóng kôan-lī pun-sin sī chi̍t-ê hōan-ûi chin khoah ê khài-liām, án-ne, kôan-lī to̍h ū pah-pah-chióng, múi-chi̍t-chióng kôan-lī ê sèng-chit kah lōe-hâm hōan-sè to̍h bô kāng-khóan. Ū-ê lâng jīn-ûi it-chhè kôan-lī lóng sī bōe-tàng jîn-ûi lâi kā i chhú-siau a̍h-sī tàn-tiāu, put-jî-kò mā ū-lâng bô tông-ì chit-chióng koan-tiám, in jīn-ûi pēng m̄-sī só·-ū ê kôan-lī lóng bē-sái khì kā chhú-siau. Chū kó·-chá kàu-kah chit-chūn, bô-kâng koan-tiám ê phái-pia̍t to̍h sī án-ne put-tōan teh sio-chèⁿ ,ti̍t-ti̍t leh lí-lūn.
23	Human Rights	https://zh-min-nan.wikipedia.org/wiki/J%C3%AEn-ko%C3%A2n	Chóng--sī, ū-ê kôan-lī, tī it-poaⁿ chèng-siông ê chêng-hóng chi-hā sī sîn-sèng put-khó chhim-hōan ê. Pí-lūn seng-chûn-kôan, khí-sò·-kôan, m̄ chò lâng lô·-lē ê kôan-lī, m̄ hông phiⁿ ê kôan-lī, m̄ siū lâng lêng-tî (lêng-tī) ê kôan-lī.
24	Human Rights	https://zh-min-nan.wikipedia.org/wiki/J%C3%AEn-ko%C3%A2n	Sè-kài jîn-kôan soan-giân
25	Human Rights	https://zh-min-nan.wikipedia.org/wiki/J%C3%AEn-ko%C3%A2n	Liân-ha̍p-kok tī 1948 nî hoat-piáu "Sè-kài jîn-kôan soan-giân" (http://www.unhchr.ch/udhr/lang/chn.htm). Che sī chi̍t-thò jîn-kôan ê phiau-chún, sī choan-kang leh pí-kàu kok-kok chèng-hú, kok cho·-chit thôan-thé kah múi-chi̍t-ê lâng tùi hiōng-sio chi-kan ê hêng-ûi, án-chóaⁿ lâi siong-chhù kah pau-iông ê. Sè-kài jîn-kôan soan-giân thê-chhut 1-ê khài-liām:
26	Human Rights	https://zh-min-nan.wikipedia.org/wiki/J%C3%AEn-ko%C3%A2n	tī kong-lêng-he̍k lāi ê jîn-kôan sī phó·-piàn chûn-chāi ê, put-khó hun-koah ê, chū chhut-sì to̍h í-keng kū-pī ê.
27	Human Rights	https://zh-min-nan.wikipedia.org/wiki/J%C3%AEn-ko%C3%A2n	Sè-kài jîn-kôan soan-giân bêng-khak hān-chè kok-ka ê hêng-ûi, kok-ka tùi kong-bîn ê gī-bū (siang-chân ê hâm-gī, mā pau-koah kôan-lī chāi-lāi).
28	Human Rights	https://zh-min-nan.wikipedia.org/wiki/J%C3%AEn-ko%C3%A2n	Sè-kài jîn-kôan soan-giân ê chú-iàu lōe-iông lō·-bóe ôan-á cheng-ka 2-pún kū-pī hoat-lu̍t iok-siok-le̍k ê kong-iok:
29	Human Rights	https://zh-min-nan.wikipedia.org/wiki/J%C3%AEn-ko%C3%A2n	Kong-bîn kah Chèng-tī Kôan-lī Kok-chè Kong-iok [1] (http://www.unhchr.ch/html/menu3/b/a_ccpr.htm) (1966 nî khai-hòng chhiam-sú, 1976 nî 3 ge̍h 23 hō seng-hāu)
30	Human Rights	https://zh-min-nan.wikipedia.org/wiki/J%C3%AEn-ko%C3%A2n	Keng-chè, Siā-hoe kah Bûn-hòa Kôan-lī Kok-chè Kong-iok [2] (http://www.unhchr.ch/html/menu3/b/a_cescr.htm) (1966 nî khai-hòng chhiam-sú, 1976 nî 1 ge̍h 3 hō seng-hāu).
31	Human Rights	https://zh-min-nan.wikipedia.org/wiki/J%C3%AEn-ko%C3%A2n	Kî-thaⁿ khah tiōng-iàu ê jîn-kôan kong-iok pau-koah:
32	Human Rights	https://zh-min-nan.wikipedia.org/wiki/J%C3%AEn-ko%C3%A2n	Ū-hông hām Chêng-hoat Chéng-cho̍k Bia̍t-cho̍at Chōe-hêng Kong-iok [3] (http://www.unhchr.ch/html/menu3/b/p_genoci.htm) (1951 nî seng-hāu)
33	Human Rights	https://zh-min-nan.wikipedia.org/wiki/J%C3%AEn-ko%C3%A2n	Kìm-chí Khok-hêng Kong-iok [4] (http://www.unhchr.ch/html/menu3/b/h_cat39.htm) (1984 nî seng-hāu)
34	Human Rights	https://zh-min-nan.wikipedia.org/wiki/J%C3%AEn-ko%C3%A2n	Siau-tû Jīm-hô Hêng-sek Chéng-cho̍k Kî-sī Kok-chè Kong-iok [5] (http://www.unhchr.ch/html/menu3/b/d_icerd.htm) (1969 nî seng-hāu)
35	Human Rights	https://zh-min-nan.wikipedia.org/wiki/J%C3%AEn-ko%C3%A2n	Siau-tû Jīm-hô Hêng-sek Hū-lú Kî-sī Kok-chè Kong-iok [6] (http://www.un.org/womenwatch/daw/cedaw/frame.htm) (1981 nî seng-hāu)
36	Human Rights	https://zh-min-nan.wikipedia.org/wiki/J%C3%AEn-ko%C3%A2n	Liân-ha̍p-kok Jî-tông Kôan-lī Kong-iok [7] (http://www.unicef.org/crc/crc.htm) (1989 nî seng-hāu)
37	Human Rights	https://zh-min-nan.wikipedia.org/wiki/J%C3%AEn-ko%C3%A2n	Kok-chè Hêng-sū Hoat-têng Lô-má hoat-kui (2002 nî seng-hāu)
38	Leonardo da Vinci	https://zh-min-nan.wikipedia.org/wiki/Leonardo_da_Vinci	Leonardo di ser Piero da Vinci (1452 nî 4 goe̍h 15 ji̍t – 1519 nî 5 goe̍h 2 ji̍t) , Í-tāi-lī Bûn-gē Ho̍k-heng sî-tāi ê gâu-lâng. I sī kí-hô-ha̍k-ka, kiàn-tio̍k-su, kang-têng-su, hoat-bêng-ka, kái-phó͘-su, tiau-khek-ka, oē-ka kiam im-ga̍k-ka. Tāi-chiòng bûn-hoà kā i tòng-chò "Ho̍k-heng Gâu-lâng" ê goân-sú tāi-piáu, sī 1 ê bû-só͘-put-lêng, chhòng-chok-la̍t bû-hān ê thian-châi. I ē-sái kóng sī se-hng sè-kài siōng kài chhut-miâ ê 1 ê oē-ka.
39	Buddhism	https://zh-min-nan.wikipedia.org/wiki/Hu%CC%8Dt-k%C3%A0u	Hu̍t-kàu (Pu̍t-kàu, 佛教), sè-kài 3-tōa chong-kàu chi-it, (Lēng-gōa 2-ê sī Ki-to̍k-kàu kah Islam-kàu). Se-gôan-chêng 6 sè-kí ê sî-tāi, Sek-khia-mô·-nî tī Kó·-Ìn-tō· chhòng-kiàn liáu Hu̍t-kàu, kiò-chòe hu̍t-tô. Àn thôan-pō· sòaⁿ-lō·, ē-tàng kā Hu̍t-kàu pun-chòe Lâm-thôan Hu̍t-kàu kah Pak-thôan Hu̍t-kàu, ah nā àn-chiàu kàu-gī ê cheng-chha lâi kóng, koh ē-sái pun-chò Sió-sêng Hu̍t-kàu (小乘佛教) kah Tāi-sêng Hu̍t-kàu (大乘佛教). Hiān-chú-sî, Hu̍t-kàu chú-iàu sī liû-hêng tī Tiong-kok, Hân-kok, Ji̍t-pún chià-ê Tang-a tē-khu kah 1-kóa-á Tang-lâm-a ê kok-ka (phì-jû-kóng Thài-kok)
40	Buddhism	https://zh-min-nan.wikipedia.org/wiki/Hu%CC%8Dt-k%C3%A0u	Hu̍t-kàu ê le̍k-sú
41	Buddhism	https://zh-min-nan.wikipedia.org/wiki/Hu%CC%8Dt-k%C3%A0u	Ē-ēng--ê chham-khó Hu̍t-kàu le̍k-sú
42	Buddhism	https://zh-min-nan.wikipedia.org/wiki/Hu%CC%8Dt-k%C3%A0u	Sek-khia-mô·-nî kòe-sin liáu-āu, Hu̍t-kàu tī tng-sî ê Ìn-tō· tit-tio̍h chin-kín hoat-tián, kàu-kah Khóng-chhiok Ông-tiâu A-io̍k-ông ê sî-tāi, Hu̍t-kàu í-keng chiâⁿ-chòe Ìn-tō· ê kok-kàu, hui-siông ê liông-sēng. Kèng-hōng hu̍t-chó· ê hu̍t-thah mā khai-sí tāi-liōng teh kiàn-chō. Ùi se-gôan-chêng 150-nî khai-sí kiàn-chō ê A-chiân-tô chio̍h-khut (阿旃陀石窟), it-ti̍t kàu-kah se-gôan 7 sè-kí chiah chò soah.
43	Buddhism	https://zh-min-nan.wikipedia.org/wiki/Hu%CC%8Dt-k%C3%A0u	Sûi-tio̍h hêng-sè teh hoat-tián, Hu̍t-kàu mā put-tōan teh siu-chèng kah hong-hù Sek-khia-mô·-nî ê ha̍k-soat, kàu-bóe-á hun-hòa chò 18-pō· ( ū lâng kóng 20 pō· ). Se-gôan 1 sè-kí ê sî, sán-seng Tāi-sêng Hu̍t-kàu.
44	Buddhism	https://zh-min-nan.wikipedia.org/wiki/Hu%CC%8Dt-k%C3%A0u	Àn Khóng-chhiok Ông-tiâu khai-sí, Hu̍t-kàu to̍h pun 2-ê bô-kāng ê hong-hiòng hiòng gōa-kok thôan-pò·. Lâm-thôan Hu̍t-kàu (Sió-sêng Hu̍t-kàu ) chú-iàu thn̂g-thòaⁿ kàu Thài-kok, Bián-tiān, Kán-po·-chē kah Su-lí-lân-khah chià-ê só·-chāi. Pak-thôan Hu̍t-kàu (Tāi-sêng Hu̍t-kàu ) koh-chài pun-chòe 2-ê phài-pia̍t. 1-phài keng-iû Keshen Mil thòaⁿ khì-kàu Sin-kiong, jī-chhiáⁿ tī Hàn-tāi ê sî-chūn thôan-ji̍p Tiong-kok, hêng-sêng Hàn-thôan Hu̍t-kàu (漢傳佛教), āu--lâi koh-chài thôan-ji̍p-khì Tiâu-sián, Ji̍t-pún kah O̍at-lâm. Lēng-gōa koh 1-phài chú-iàu tī Se-chōng tē-khu thòaⁿ-kin, lâng kiò-chòe Chōng-thôan Hu̍t-kàu (藏傳佛教), mā-to̍h-sī Lā-ma-kàu.
45	Buddhism	https://zh-min-nan.wikipedia.org/wiki/Hu%CC%8Dt-k%C3%A0u	Ki-pún kàu-gī
46	Buddhism	https://zh-min-nan.wikipedia.org/wiki/Hu%CC%8Dt-k%C3%A0u	Pài-hu̍t ê lâng jīn-ûi sè-kan chhiong-bóan thòng-khó·, bān-bu̍t lóng m̄-sī kò·-tēng put-piàn--ê, che hō·-chòe bû-siông. Hu̍t-kàu ê ki-pún kàu-gī sī sù-tè (四谛), to̍h-sī "khó·, chi̍p, bia̍t, tō" (苦,集,灭,道).
47	Buddhism	https://zh-min-nan.wikipedia.org/wiki/Hu%CC%8Dt-k%C3%A0u	Khó·-tè sī Hu̍t-kàu ê khí-tiám, jîn-ûi jîn-seng ū 7-hāng khó· : "seⁿ", "lāu", "pīⁿ", "sí", "hun-lî", "òan-hūn", "kiû--lâng"(求不得). Chí-beh lâi kàu chia, to̍h pit-tēng ài siū thòng-khó· ê chiat-bôa.
48	Buddhism	https://zh-min-nan.wikipedia.org/wiki/Hu%CC%8Dt-k%C3%A0u	Chi̍p-tè kái-soeh sán-seng thòng-khó· ê kun-gôan, jīn-ûi kóng, sī lâng to̍h-ū iok-bōng, to̍h-ē sán-seng hiō-kó, ah hiō-kó to̍h-sī thòng-khó· ê kin-gôan. Che to̍h-sī in-kó ha̍k-soat.
49	Buddhism	https://zh-min-nan.wikipedia.org/wiki/Hu%CC%8Dt-k%C3%A0u	Bia̍t-tè soeh-bêng liáu beh án-chóaⁿ lâi siau-tû thòng-khó·. Jīn-ûi koan-kiàn sī ài siau-tû iok-bōng.
50	Buddhism	https://zh-min-nan.wikipedia.org/wiki/Hu%CC%8Dt-k%C3%A0u	Tō-tè kā lâng kóng-bêng siu-tō ê lō·-tô· kah hong-hoat, kóng ài thong-kòe pat-chèng-tō (八正道) ê siu-hēng chiah ē-tàng ta̍t-kàu put-seng, put-bia̍t, cho̍at-tùi ê tiām-chēng kah éng-góan chhiau-thoat ê kéng-kài.
51	Buddhism	https://zh-min-nan.wikipedia.org/wiki/Hu%CC%8Dt-k%C3%A0u	Hu̍t-kàu kàu-tō lâng ài lún-khúi-kiû-seng, jīm-lô-jīm-òan, ài ū chú-ngó· hi-seng ê cheng-sîn. Hu̍t-kàu thê-chhiòng chiòng-seng pêng-téng, jīn-ûi jīm-hô lâng chí-beh siong-sìn Hu̍t to̍h ē-tàng tit-tio̍h kái-thoat.
52	Buddhism	https://zh-min-nan.wikipedia.org/wiki/Hu%CC%8Dt-k%C3%A0u	Sek-khia-mô·-nî bat chhì-kòe kúi-á-khóan ê pō·-sò·, siūⁿ-beh thè lâng tit-tio̍h kái-thoat. Kàu-bóe-á, i tī 1-châng phô·-thê-chhiū-kha siūⁿ 7-mê 7-ji̍t, chóng-sǹg kak-ngō·, i ngō·-chhut 1-tiâu lí-lūn : lâng tiāⁿ-tio̍h ài keng-kòe siu-hēng chiah ē-tàng siau-tû hôan-ló kah hi-bî, ta̍t-kàu ôan-chôan kái-thoat ê kéng-kài, liáu-āu to̍h tit-tio̍h tōa tì-hūi, liáu-chhiat seⁿ-sí, án-ne chú-jiân to̍h-ē ôan-lî khó·-chhó·.
53	Buddhism	https://zh-min-nan.wikipedia.org/wiki/Hu%CC%8Dt-k%C3%A0u	Hu̍t-kàu kok kàu-phài tī hoat-tián tang-tiong lóng-chóng hêng-sêng kok-chū ê te̍k-sek kah kàu-gī.
