sentence_id	main_code	definition_id	sentence_order	nan_sentence	nan_tailo	zh_xc	english_via_gpt4_zh_translation
130	98	137	1	算命仙的講𪜶兩人的八字袂合。	Sǹg-miā sian--ê kóng in nn̄g lâng ê peh-jī bē-ha̍h. 	算命先生說他們兩人的八字不合。	The fortune teller said their eight characters are not compatible.
131	103	143	1	七早八早，你就想欲歇睏？	Tshit-tsá-peh-tsá, lí tō siūnn-beh hioh-khùn? 	時間還早，你就想休息？	It's still early, you want to rest already?
132	104	144	1	你講閣較濟伊嘛聽袂入耳。	Lí kóng koh-khah tsē i mā thiann bē ji̍p-ní. 	你說再多他也聽不進去。	No matter how much you say, he won't listen.
133	106	146	1	食甲七老八老矣，猶閣毋認老。	Tsia̍h kah tshit-lāu-peh-lāu--ah, iáu-koh m̄ jīn lāu. 	活到七老八十了，還不認老。	Living to seventy or eighty and still not admitting to being old.
134	107	147	1	你著較拍拚咧，毋通做了尾仔囝。	Lí tio̍h khah phah-piànn--leh, m̄-thang tsò liáu-bué-á-kiánn. 	你要更努力一點，不要做敗家子。	You need to work harder, don't be a spendthrift.
135	108	148	1	講著種花伊閣有二步七仔！	Kóng-tio̍h tsìng-hue i koh ū--jī-pōo-tshit-á! 	說到種花他還有點能耐！	Speaking of planting flowers, he has some skills!
137	110	152	1	睏飽了後，氣力十足。	Khùn-pá liáu-āu, khuì-la̍t tsa̍p-tsiok. 	一覺睡醒之後，全身都充滿了活力。	After waking up from a sleep, the whole body is full of vitality.
138	111	153	1	九芎仔柴	kiú-kiong-á-tshâ	九芎樹	Osmanthus Tree
139	112	154	1	人事室	jîn-sū sik	管理機關人員的辦公處所	The office of the administrative agency staff
140	112	155	1	盡人事順天意。	Tsīn jîn-sū sūn thinn-ì. 	盡人事聽天命。	Do your best and leave the rest to fate.
141	112	156	1	過年時仔伊會用外國酒來做人事。	Kuè-nî-sî-á i ē īng guā-kok tsiú lâi tsò jîn-sū. 	過年的時候他會用外國酒來做公關。	During the New Year, he would use foreign wine for public relations.
142	115	160	1	陳家二房的囝孫仔攏真老實。	Tân--ka jī-pâng ê kiánn-sun-á lóng tsin láu-si̍t. 	陳家二房的子孫都很老實。	The descendants of the second house of the Chen family are all very honest.
144	116	162	1	大人物	tuā jîn-bu̍t	有地位有名望的人	People with status and fame
145	117	163	1	十花五色的人	tsa̍p-hue-gōo-sik ê lâng	形形色色的人	People of all shapes and colors
146	118	164	1	我今仔入門，電話就來矣。	Guá tann-á ji̍p-mn̂g, tiān-uē tō lâi--ah. 	我剛進門，電話就來了。	I just walked in the door and the phone rang.
147	118	165	1	我想欲趕緊共你娶入門。	Guá siūnn-beh kuánn-kín kā lí tshuā ji̍p-mn̂g. 	我想要趕快將你娶進門。	I want to marry you as soon as possible.
148	118	166	1	學音樂，我拄入門。	O̍h im-ga̍k, guá tú ji̍p-mn̂g. 	學音樂，我才剛剛入門。	I just started learning music.
149	118	167	1	哲學入門	tiat-ha̍k ji̍p-mn̂g		
150	119	168	1	咱愛好好仔招待人客。	Lán ài hó-hó-á tsiau-thāi lâng-kheh. 	我們要好好招呼客人。	We need to take good care of the guests.
151	119	168	2	店內人客真濟。	Tiàm-lāi lâng-kheh tsin tsē.	店裡顧客很多。	There are many customers in the store.
152	120	169	1	你出門了後，伊就醒矣。	Lí tshut-mn̂g liáu-āu, i tō tshénn--ah. 	你出去之後，他就醒了。	After you left, he woke up.
153	121	170	1	七星陣	tshit-tshenn tīn	依照北斗七星排列所設的陣式	The formation set according to the arrangement of the Big Dipper.
154	122	171	1	大姊昨昏二指去予玻璃幼仔割著。	Tuā-tsí tsa-hng  jī-tsáinn khì hōo po-lê-iù-á kuah-tio̍h. 	大姊昨天食指被碎玻璃割到。	My older sister cut her index finger on broken glass yesterday.
155	123	172	1	伊是刁持欲佮我做對的。	I sī tiau-tî beh kah guá tsò-tuì--ê. 	他是故意要和我作對的。	He is deliberately opposing me.
156	123	173	1	我是刁持來看你的。	Guá sī tiau-tî lâi khuànn--lí--ê. 	我是特別來看你的。	I came especially to see you.
157	124	174	1	伊刁故意欲講予你氣。	I tiau-kòo-ì beh kóng hōo lí khì. 	他故意這麼說要惹你生氣。	He deliberately said that to make you angry.
158	127	179	1	伊的人面真闊，拜託伊就無毋著！	I ê lâng-bīn tsin khuah, pài-thok--i tō bô-m̄-tio̍h! 	他的人脈很廣，拜託他就沒錯！	His network is very wide, it's right to ask him for help!
159	128	180	1	這个案件是人倫悲劇。	Tsit-ê àn-kiānn sī jîn-lûn pi-kio̍k. 	這個案件是人倫悲劇。	This case is a human tragedy.
160	129	181	1	公務人員	kong-bū jîn-uân		
161	129	182	1	阮這个單位的人員無夠，工課才會做袂完。	Guán tsit-ê tan-uī ê jîn-uân bô-kàu, khang-khuè tsiah ē tsò bē uân. 	我們這個單位的人數不足，工作才完成不了。	We don't have enough people in our unit, that's why we can't finish the work.
162	130	183	1	你當時欲入厝？	Lí tang-sî beh ji̍p-tshù? 	你何時要搬入新家？	When are you moving into your new home?
163	133	186	1	一戶人家	tsi̍t hōo jîn-ke		
164	136	189	1	做人愛重人格。	Tsò-lâng ài tiōng jîn-keh. 	為人要注重人格。	One should value personal character.
165	137	190	1	伊閣不止仔有人氣。	I koh put-tsí-á ū jîn-khì. 	他的人緣還算不錯。	His popularity is not bad.
166	139	192	1	兩隊人馬佇街仔路相拄。	Nn̄g tuī jîn-má tī ke-á-lōo sio-tú. 	兩隊人馬在街道相遇。	Two groups of people meet on the street.
167	140	193	1	伊昨暗入院。	I tsa-àm ji̍p-īnn. 	他昨晚住院。	He was hospitalized last night.
168	142	195	1	做人情予伊。	Tsò-jîn-tsîng hōo--i. 	給他一個人情。	Give him a favor.
169	142	196	1	人在人情在。	Jîn tsāi jîn-tsîng tsāi. 	人在人際關係就在。	People exist in interpersonal relationships.
170	143	197	1	人情世事有夠濟。	Jîn-tsîng-sè-sū ū-kàu-tsē. 	禮尚往來的事情有夠多。	There are quite a lot of things about reciprocity.
171	145	199	1	伊真有人望。	I tsin ū jîn-bōng. 	他很有名氣。	He is very famous.
172	146	200	1	人造雨	jîn-tsō hōo		
173	147	201	1	這支刀的刀喙真利。	Tsit ki to ê to-tshuì tsin lāi. 	這把刀的刀口很鋒利。	The blade of this knife is very sharp.
174	149	202	1	戲園五點才會使入場。	Hì-hn̂g gōo tiám tsiah ē-sái ji̍p-tiûnn. 	戲院五點才能進場。	The theater will not open until 5 o'clock.
175	150	203	1	這个囡仔欲食毋討趁，有夠了然。	Tsit ê gín-á beh tsia̍h m̄ thó-thàn, ū kàu liáu-jiân. 	這個孩子只顧白食不肯賺錢，實在枉然。	This child only cares about freeloading and refuses to earn money, it's really a waste.
176	151	204	1	咱愛靠家己的力量拚出咱家己的前途。	Lán ài khò ka-kī ê li̍k-liōng piànn tshut lán ka-kī ê tsiân-tôo.	我們要靠自己的能力拚出自己的前途。	We have to rely on our own abilities to carve out our own future.
177	152	205	1	伊毋是刁意故的。	I m̄ sī thiau-ì-kòo--ê. 	他不是故意的。	He didn't do it on purpose.
178	155	208	1	伊又閣來矣。	I iū-koh lâi--ah. 	他又來了。	He came again.
179	156	209	1	規間厝恬恬無聲，連半个人影嘛無。	Kui king tshù tiām-tiām bô-siann, liân puànn ê lâng-iánn mā bô. 	整間屋子靜悄悄的，連半個人影都沒有。	The whole room is quiet, not even half a person's shadow can be seen.
180	157	210	1	用九層塔煎卵真好食。	Iōng káu-tsàn-thah tsian nn̄g tsin hó tsia̍h. 	用九層塔煎蛋很好吃。	Fried eggs with basil are very delicious.
181	158	211	1	伊的人範袂䆀。	I ê lâng-pān bē-bái. 	他的人品不錯。	His character is not bad.
182	159	212	1	伊真有人緣。	I tsin ū-lâng-iân. 	他很有人緣。	He is very popular.
183	160	213	1	我今年就欲入學去讀冊矣！	Guá kin-nî tō beh ji̍p-o̍h khì tha̍k-tsheh--ah! 	我今年就要入學去讀書了！	I'm going to start school this year!
184	161	214	1	伊彼幅圖有入選無？	I hit pak tôo ū ji̍p-suán--bô? 	他那幅畫有沒有入選？	Did his painting get selected?
185	162	215	1	伊做啥物生理攏了錢。	I tsò siánn-mih sing-lí lóng liáu-tsînn. 	他做什麼生意都賠錢。	He loses money in any business he does.
186	162	216	1	這號物件都已經有矣，你閣欲買，加了錢的。	Tsit-lō mi̍h-kiānn to í-king ū--ah, lí koh beh bé, ke liáu-tsînn--ê. 	這個東西已經有了，你還要買，多花錢而已。	This thing is already available, you still want to buy it, it's just a waste of money.
188	163	219	1	這間店是算人頭收錢的。	Tsit king tiàm sī sǹg lâng-thâu siu tsînn--ê. 	這家商店是按人數收錢的。	This store charges based on the number of people.
189	163	220	1	警察掠著的是人頭，毋是真正的頭家。	Kìng-tshat lia̍h-tio̍h--ê sī lâng-thâu, m̄ sī tsin-tsiànn--ê thâu-ke. 	警察捉到的是人頭帳戶，而不是背後的主使者。	The police caught the front men, not the real masterminds behind them.
190	164	221	1	力頭真飽	la̍t-thâu tsin pá	力道真大	Such great strength
191	167	224	1	無佮意你就講，何乜苦共伊刁難？	Bô kah-ì lí tō kóng, hô-mí-khóo kā i thiau-lân? 	不喜歡你就說嘛，又何必故意為難他？	If you don't like him, just say it. Why purposely make things difficult for him?
192	170	227	1	三生有幸	sam-sing-iú-hīng		
193	171	228	1	三隻狗	sann tsiah káu	三條狗	Three dogs
194	172	229	1	上車	tsiūnn tshia		
195	172	229	2	上山	tsiūnn-suann		
196	172	230	1	上桌	tsiūnn toh	把食物或其他東西端上桌	Bring the food or other things to the table.
197	173	231	1	上水	tshiūnn-tsuí	從井裡頭用水桶把水打上來	Draw water up from the well using a bucket.
198	173	232	1	上青苔	tshiūnn tshenn-thî	長青苔	Evergreen Moss
199	174	233	1	水面上	tsuí-bīn-siōng		
200	174	234	1	上好	siōng-hó	最好	Best
201	175	235	1	天跤下	thinn-kha-ē	天底下	Under the sky
202	175	236	1	拍三下	phah sann ē	打三下	Hit three times
203	175	236	2	驚一下	kiann tsi̍t-ē	嚇一跳	Startled
204	176	237	1	下班	hā-pan		
205	176	237	2	下課	hā-khò		
206	176	238	1	下令	hā-līng	宣布命令	Announce command
207	176	239	1	南下	lâm hā	往南部去	Go south
208	176	240	1	下集	hā tsi̍p		
209	176	240	2	下級	hā-kip		
210	177	241	1	物件無位通下。	Mi̍h-kiānn bô uī thang hē. 	東西沒地方放。	There is no place to put things.
211	177	241	2	下鹽	hē iâm	在食物中放鹽	Put salt in the food.
212	177	242	1	乞食下大願。	Khit-tsia̍h hē tuā guān. 	乞丐許大願。比喻人明明沒有能力，卻好高騖遠。	A beggar makes a big wish. This metaphorically implies that someone is clearly incapable, yet they aim too high.
213	178	243	1	懸低	kuân-kē	高低	High and low
214	178	243	2	低音	kē-im	低音	Bass
215	179	244	1	兩个人	nn̄g ê lâng	兩個人	Two people
216	179	245	1	這个物件	tsit ê mi̍h-kiānn	這個東西	This thing
217	180	246	1	魚丸	hî-uân	魚肉製成的小丸子	Small balls made of fish meat
218	180	247	1	彼兩丸烏烏的物件是啥物？	Hit nn̄g uân oo-oo ê mi̍h-kiānn sī siánn-mih? 	那兩球黑黑的東西是什麼？	What are those two black things?
219	181	248	1	伊離開真久矣。	I lī-khui tsin kú--ah. 	他離開很久了。	He has been gone for a long time.
220	182	249	1	么二三	io jī sann	一二三	One two three
