id	source_origin	source_id	text_nan_poj	text_en	text_nan_tc	warning_text_nan_poj	warning_text_en	warning_text_nan_tc
17	wiki	17	Bô-sêng-bûn-hoat tī Tiong-sè-kí tō ū--a, goân-khí-thâu sī John Kok-ông hō͘ kùi-cho̍k kiông-pek chhiam-sú ê Tāi-hiàn-chiuⁿ.	Civil law also exists in China, its earliest inception was when John Cockburn introduced it to Taiwan during the colonial period.			Not original	
18	wiki	18	"Chong-kàu hoat-lu̍t
Chong-kàu hoat-lu̍t sī kin-kì chong-kàu sìn-gióng iah chong-kàu chheh ê hoat-lu̍t. Pí-lūn Iû-thài-kàu ê Halakha, Islam ê Sharia, kap Ki-tok-kàu ê Kàu-hoē-hoat. It-ti̍t kah 18 sè-kí, Sharia lóng iáu sī Islam sè-kài ê chú-iàu hoat-lu̍t hē-thóng. Tī chhin-chhiūⁿ Saud ê A-la-pek kap Iran, in kok kui-ê hoat-lu̍t hē-thóng ki-pún-tek tō sī chhú Sharia chò kin-té--ê."	"Religious law
Religious law is legal processing based on religious doctrine or religious law. Examples include Jewish Halakha, Islamic Sharia, and Christian Canon Law. Until the 18th century, Sharia was a predominant legal system in the Islamic world. In countries such as Saudi Arabia and Iran, their legal systems are fundamentally based on Sharia."			Not original	
19	wiki	19	Chong-kàu hoat-lu̍t tùi chi̍t-koá hui-chong-kàu hoat--ni̍h ê khin-choē tiāⁿ-tiāⁿ ū chin khò͘-hêng ê chhú-hoa̍t, tùi hū-lú kap chió-sò͘ cho̍k-kûn ū khah put-lī.	Religious law from a specific religion usually has very strict norms, and often has more restrictions from certain perspectives and fields.			Not original	
20	wiki	20	Jîn-kôan, kán-tan kóng, sī lán lâng chêng chhut-sì to̍h ū, sī chū-jiân kôan-lī. Àn-chiàu Chū-jiân-hoat ê kái-soeh, jîn-kôan sī só·-ū ê lâng lóng ū, bōe-tàng thâi sak tàn-tiāu ê kôan-lī. Chi-chhî chit-chióng koan-tiám ê lâng, jīn-ûi chū-iû kah ûi-chhî ha̍p-lí ê seng-o̍ah phín-chit, sī chò-lâng ê ki-pún tiâu-kiāⁿ.	Human rights, strictly speaking, are what we have from birth, they are inherent rights. According to the Universal Declaration, human rights are something that every person has, and they cannot be taken away under any circumstances. Therefore, people who violate this principle, because of their negligence and disregard for human values, are the essence of disgrace.			Not original	
21	wiki	21	Lán kóng ká-sú ū chi̍t-chióng kôan-lī sī bē-tit chhú-siau he̍k-chiá the̍h-tiāu ê, án-ne che to̍h-sī leh kóng chit-chióng kôan-lī bōe-sái hō· lâng the̍h-lâi si-sià, the̍h-lâi bé-bē, i bô su-iàu siū lâng phoe-chún, mā bô lâng ē-tàng hān-chè. Khó-pí-kóng, chi̍t-ê lâng bē-sái kā ka-kī bē hō· lâng chò lô·, in-ūi bô lâng ū kôan án-ne chò, pau-koah i pun-sin.	We are saying that there is a right that cannot be compromised, that is our inherent dignity. Therefore, no one can take this right away, take it as a bargain, use it to threaten someone or exchange it. It is not something that anyone can manipulate, and nobody can violate it. In other words, a person should not be treated as a tool by others, because nobody has the right to do so, especially not him/her.			Not original	
22	wiki	22	Nā beh kóng kôan-lī pun-sin sī chi̍t-ê hōan-ûi chin khoah ê khài-liām, án-ne, kôan-lī to̍h ū pah-pah-chióng, múi-chi̍t-chióng kôan-lī ê sèng-chit kah lōe-hâm hōan-sè to̍h bô kāng-khóan. Ū-ê lâng jīn-ûi it-chhè kôan-lī lóng sī bōe-tàng jîn-ûi lâi kā i chhú-siau a̍h-sī tàn-tiāu, put-jî-kò mā ū-lâng bô tông-ì chit-chióng koan-tiám, in jīn-ûi pēng m̄-sī só·-ū ê kôan-lī lóng bē-sái khì kā chhú-siau. Chū kó·-chá kàu-kah chit-chūn, bô-kâng koan-tiám ê phái-pia̍t to̍h sī án-ne put-tōan teh sio-chèⁿ ,ti̍t-ti̍t leh lí-lūn.	If we talk about the essence of human rights, it's a very broad concept. That is, there are various aspects of human rights, and every aspect of human rights is interconnected and inseparable from each other. Any attempt to violate or infringe upon any one of these rights is unacceptable. Not to mention that there is no consensus on this topic, however, because any existing human rights cannot be violated. This leads to endless debates and discussions on this complex and holistic subject.			Not original	
23	wiki	23	Chóng--sī, ū-ê kôan-lī, tī it-poaⁿ chèng-siông ê chêng-hóng chi-hā sī sîn-sèng put-khó chhim-hōan ê. Pí-lūn seng-chûn-kôan, khí-sò·-kôan, m̄ chò lâng lô·-lē ê kôan-lī, m̄ hông phiⁿ ê kôan-lī, m̄ siū lâng lêng-tî (lêng-tī) ê kôan-lī.	In fact, having rights, in an ideal sense, is sacred and inviolable. These include the right to life, freedom of speech, the right not to be treated as a tool, the right not to be harmed, and the right to privacy.			Not original	
24	wiki	24	Sè-kài jîn-kôan soan-giân	Universal Declaration of Human Rights			Not original	
25	wiki	25	Liân-ha̍p-kok tī 1948 nî hoat-piáu "Sè-kài jîn-kôan soan-giân". Che sī chi̍t-thò jîn-kôan ê phiau-chún, sī choan-kang leh pí-kàu kok-kok chèng-hú, kok cho·-chit thôan-thé kah múi-chi̍t-ê lâng tùi hiōng-sio chi-kan ê hêng-ûi, án-chóaⁿ lâi siong-chhù kah pau-iông ê. Sè-kài jîn-kôan soan-giân thê-chhut 1-ê khài-liām:	The United Nations enacted the "Universal Declaration of Human Rights" in 1948. This is a manifesto on human rights, recognizing each and every nation and individual's right to freedom and respect, guiding various aspects of life and stressing the interconnectedness and interdependence of these rights. The Universal Declaration of Human Rights highlights a key point:			Not original	
26	wiki	26	tī kong-lêng-he̍k lāi ê jîn-kôan sī phó·-piàn chûn-chāi ê, put-khó hun-koah ê, chū chhut-sì to̍h í-keng kū-pī ê.	that the human rights in international law are absolutely fundamental, unassailable, and inherently present from birth.			Not original	
27	wiki	27	Sè-kài jîn-kôan soan-giân bêng-khak hān-chè kok-ka ê hêng-ûi, kok-ka tùi kong-bîn ê gī-bū (siang-chân ê hâm-gī, mā pau-koah kôan-lī chāi-lāi).	The Universal Declaration of Human Rights emphasizes the responsibilities of nations, including the duty to protect the fundamental rights of citizens (such as civil and political rights, as well as other rights).			Not original	
28	wiki	28	Sè-kài jîn-kôan soan-giân ê chú-iàu lōe-iông lō·-bóe ôan-á cheng-ka 2-pún kū-pī hoat-lu̍t iok-siok-le̍k ê kong-iok:	The basic idea of the Universal Declaration of Human Rights is divided into two fundamental principles that complement and balance each other:			Not original	
29	wiki	29	Kong-bîn kah Chèng-tī Kôan-lī Kok-chè Kong-iok sī 1966 nî khai-hòng chhiam-sú, 1976 nî 3 ge̍h 23 hō seng-hāu.	The International Covenant on Civil and Political Rights was opened for signature in 1966 and came into force on March 23, 1976.			Not original	
30	wiki	30	Keng-chè, Siā-hoe kah Bûn-hòa Kôan-lī Kok-chè Kong-iok sī 1966 nî khai-hòng chhiam-sú, 1976 nî 1 ge̍h 3 hō seng-hāu.	Similarly, The International Covenant on Economic, Social and Cultural Rights was opened for signature in 1966 and came into force on January 3, 1976.			Not original	
31	wiki	31	Kî-thaⁿ khah tiōng-iàu ê jîn-kôan kong-iok pau-koah:	Other important human rights covenants include:			Not original	
32	wiki	32	Ū-hông hām Chêng-hoat Chéng-cho̍k Bia̍t-cho̍at Chōe-hêng Kong-iok sī 1951 nî seng-hāu.	The Convention relating to the Status of Refugees entered into force in 1951.			Not original	
33	wiki	33	Kìm-chí Khok-hêng Kong-iok sī 1984 nî seng-hāu.	The Convention Against Torture entered into force in 1984.			Not original	
34	wiki	34	Siau-tû Jīm-hô Hêng-sek Chéng-cho̍k Kî-sī Kok-chè Kong-iok sī 1969 nî seng-hāu.	The Convention on the Elimination of All Forms of Racial Discrimination came into force in 1969.			Not original	
35	wiki	35	Siau-tû Jīm-hô Hêng-sek Hū-lú Kî-sī Kok-chè Kong-iok sī 1981 nî seng-hāu.	The Convention on the Elimination of All Forms of Discrimination against Women came into force in 1981.			Not original	
36	wiki	36	Liân-ha̍p-kok Jî-tông Kôan-lī Kong-iok sī 1989 nî seng-hāu.	The United Nations Convention on the Rights of the Child came into force in 1989.			Not original	
37	wiki	37	Kok-chè Hêng-sū Hoat-têng Lô-má hoat-kui sī 2002 nî seng-hāu.	The Rome Statute of the International Criminal Court came into force in 2002.			Not original	
38	wiki	38	Leonardo di ser Piero da Vinci (1452 nî 4 goe̍h 15 ji̍t – 1519 nî 5 goe̍h 2 ji̍t), Í-tāi-lī Bûn-gē Ho̍k-heng sî-tāi ê gâu-lâng. I sī kí-hô-ha̍k-ka, kiàn-tio̍k-su, kang-têng-su, hoat-bêng-ka, kái-phó͘-su, tiau-khek-ka, oē-ka kiam im-ga̍k-ka. Tāi-chiòng bûn-hoà kā i tòng-chò "Ho̍k-heng Gâu-lâng" ê goân-sú tāi-piáu, sī 1 ê bû-só͘-put-lêng, chhòng-chok-la̍t bû-hān ê thian-châi. I ē-sái kóng sī se-hng sè-kài siōng kài chhut-miâ ê 1 ê oē-ka.	Leonardo di ser Piero da Vinci (April 15, 1452 - May 2, 1519) was a giant in the Italian Renaissance period. He was a scientist, architect, engineer, sculptor, inventor, military engineer, musician, and artist. In particular, his tremendous achievements in art earned him the title of "Renaissance Man". Considered a polymath, he was an individual deeply interested and skilled in multiple disciplines. He is often said to be one of the greatest painters in world history.			Not original	
39	wiki	39	Hu̍t-kàu, sè-kài 3-tōa chong-kàu chi-it, Lēng-gōa 2-ê sī Ki-to̍k-kàu kah Islam-kàu. Se-gôan-chêng 6 sè-kí ê sî-tāi, Sek-khia-mô·-nî tī Kó·-Ìn-tō· chhòng-kiàn liáu Hu̍t-kàu, kiò-chòe hu̍t-tô. Àn thôan-pō· sòaⁿ-lō·, ē-tàng kā Hu̍t-kàu pun-chòe Lâm-thôan Hu̍t-kàu kah Pak-thôan Hu̍t-kàu, ah nā àn-chiàu kàu-gī ê cheng-chha lâi kóng, koh ē-sái pun-chò Sió-sêng Hu̍t-kàu kah Tāi-sêng Hu̍t-kàu. Hiān-chú-sî, Hu̍t-kàu chú-iàu sī liû-hêng tī Tiong-kok, Hân-kok, Ji̍t-pún chià-ê Tang-a tē-khu kah 1-kóa-á Tang-lâm-a ê kok-ka.	Buddhism is the 3rd largest religion in the world, after Christianity and Islam. Originating in the 6th century BC, Siddhartha Gautama founded Buddhism in India, which is known as the era of enlightenment. Depending on the tradition and interpretation, Buddhism can be divided into Northern Buddhism and Southern Buddhism, and according to some classifications, it can be further divided into Lesser Vehicle Buddhism and Greater Vehicle Buddhism. At present, Buddhism is popular in China, Korea, Japan and many other Asian countries, as well as in some Western countries.			Not original	
40	wiki	40	Hu̍t-kàu ê le̍k-sú	Buddhist scriptures			Not original	
41	wiki	41	Ē-ēng--ê chham-khó Hu̍t-kàu le̍k-sú	A Quick Guide to Buddhist scriptures			Not original	
42	wiki	42	Sek-khia-mô·-nî kòe-sin liáu-āu, Hu̍t-kàu tī tng-sî ê Ìn-tō· tit-tio̍h chin-kín hoat-tián, kàu-kah Khóng-chhiok Ông-tiâu A-io̍k-ông ê sî-tāi, Hu̍t-kàu í-keng chiâⁿ-chòe Ìn-tō· ê kok-kàu, hui-siông ê liông-sēng. Kèng-hōng hu̍t-chó· ê hu̍t-thah mā khai-sí tāi-liōng teh kiàn-chō. Ùi se-gôan-chêng 150-nî khai-sí kiàn-chō ê A-chiân-tô chio̍h-khut, it-ti̍t kàu-kah se-gôan 7 sè-kí chiah chò soah.	Since the time of Siddhartha Gautama, Buddhism has been deeply intertwined with Indian society, even up until the time of Emperor Ashoka. Buddhism has already become the religion of India, influencing generations of believers. Furthermore, the compilation of Buddhist texts began quite early. From the 150-year-aged Ajanta Caves, we can trace the spread of Buddhism to all seven continents of the world.			Not original	
43	wiki	43	Sûi-tio̍h hêng-sè teh hoat-tián, Hu̍t-kàu mā put-tōan teh siu-chèng kah hong-hù Sek-khia-mô·-nî ê ha̍k-soat, kàu-bóe-á hun-hòa chò 18-pō·. Se-gôan 1 sè-kí ê sî, sán-seng Tāi-sêng Hu̍t-kàu.	Despite the spread of Buddhism, it was not completely accepted and integrated into the teachings and practices of Siddhartha Gautama, up until it became an 18-fold sect. For a period of time, it birthed the Greater Vehicle Buddhism.			Not original	
44	wiki	44	Àn Khóng-chhiok Ông-tiâu khai-sí, Hu̍t-kàu to̍h pun 2-ê bô-kāng ê hong-hiòng hiòng gōa-kok thôan-pò·. Lâm-thôan Hu̍t-kàu chú-iàu thn̂g-thòaⁿ kàu Thài-kok, Bián-tiān, Kán-po·-chē kah Su-lí-lân-khah chià-ê só·-chāi. Pak-thôan Hu̍t-kàu koh-chài pun-chòe 2-ê phài-pia̍t. 1-phài keng-iû Keshen Mil thòaⁿ khì-kàu Sin-kiong, jī-chhiáⁿ tī Hàn-tāi ê sî-chūn thôan-ji̍p Tiong-kok, hêng-sêng Hàn-thôan Hu̍t-kàu, āu--lâi koh-chài thôan-ji̍p-khì Tiâu-sián, Ji̍t-pún kah O̍at-lâm. Lēng-gōa koh 1-phài chú-iàu tī Se-chōng tē-khu thòaⁿ-kin, lâng kiò-chòe Chōng-thôan Hu̍t-kàu, mā-to̍h-sī Lā-ma-kàu.	According to Emperor Ashoka, Buddhism was divided into two unrelated sects. Southern Buddhism was spread to Thailand, Myanmar, Cambodia and Sri Lanka. Northern Buddhism is further divided into two branches. One branch, known from the Kashyapa Matanga, was spread to Xinjiang, then during the Han Dynasty it entered China, developing into Han Buddhism, and later also spread to Korea, Japan and Vietnam. The other branch already in the Northwestern regions, was known as Central Buddhism, or Lamaism.			Not original	
45	wiki	45	Ki-pún kàu-gī	Basic precepts			Not original	
46	wiki	46	Pài-hu̍t ê lâng jīn-ûi sè-kan chhiong-bóan thòng-khó·, bān-bu̍t lóng m̄-sī kò·-tēng put-piàn--ê, che hō·-chòe bû-siông. Hu̍t-kàu ê ki-pún kàu-gī sī sù-tè, to̍h-sī "khó·, chi̍p, bia̍t, tō".	Buddhists should adhere to the basic precepts in their daily lives. Although these are not absolutely immutable, they generally don’t change. The basic precepts of Buddhism are "no killing, no stealing, no lying, no drinking".			Not original	
